DATE,SM443141USN
1/1/2010,1112
2/1/2010,1130
3/1/2010,1223
4/1/2010,1245
5/1/2010,1365
6/1/2010,1344
7/1/2010,1355
8/1/2010,1291
9/1/2010,1226
10/1/2010,1192
11/1/2010,1460
12/1/2010,1513
1/1/2011,1077
2/1/2011,1141
3/1/2011,1215
4/1/2011,1181
5/1/2011,1274
6/1/2011,1314
7/1/2011,1334
8/1/2011,1360
9/1/2011,1383
10/1/2011,1277
11/1/2011,1612
12/1/2011,1639
1/1/2012,1170
2/1/2012,1265
3/1/2012,1325
4/1/2012,1202
5/1/2012,1400
6/1/2012,1413
7/1/2012,1374
8/1/2012,1410
9/1/2012,1305
10/1/2012,1299
11/1/2012,1639
12/1/2012,1613
1/1/2013,1241
2/1/2013,1291
3/1/2013,1380
4/1/2013,1310
5/1/2013,1481
6/1/2013,1407
7/1/2013,1498
8/1/2013,1476
9/1/2013,1408
10/1/2013,1449
11/1/2013,1606
12/1/2013,1644
1/1/2014,1261
2/1/2014,1275
3/1/2014,1405
4/1/2014,1294
5/1/2014,1444
6/1/2014,1443
7/1/2014,1475
8/1/2014,1461
9/1/2014,1445
10/1/2014,1458
11/1/2014,1602
12/1/2014,1632
1/1/2015,1271
2/1/2015,1248
3/1/2015,1414
4/1/2015,1335
5/1/2015,1513
6/1/2015,1524
7/1/2015,1537
8/1/2015,1430
9/1/2015,1463
10/1/2015,1396
11/1/2015,1549
12/1/2015,1603
1/1/2016,1242
2/1/2016,1344
3/1/2016,1407
4/1/2016,1331
5/1/2016,1460
6/1/2016,1542
7/1/2016,1497
8/1/2016,1504
9/1/2016,1515
10/1/2016,1393
11/1/2016,1644
12/1/2016,1630
1/1/2017,1300
2/1/2017,1288
3/1/2017,1491
4/1/2017,1349
5/1/2017,1452
6/1/2017,1447
7/1/2017,1396
8/1/2017,1388
9/1/2017,1386
10/1/2017,1361
11/1/2017,1514
12/1/2017,1434
1/1/2018,1230
2/1/2018,1225
3/1/2018,1421
4/1/2018,1322
5/1/2018,1506
6/1/2018,1489
7/1/2018,1473
8/1/2018,1530
9/1/2018,1356
10/1/2018,1425
11/1/2018,1543
12/1/2018,1416
1/1/2019,1221
2/1/2019,1202
3/1/2019,1364
4/1/2019,1340
5/1/2019,1506
6/1/2019,1432
7/1/2019,1558
8/1/2019,1500
9/1/2019,1384
10/1/2019,1435
11/1/2019,1525
12/1/2019,1443
1/1/2020,1243
2/1/2020,1243
3/1/2020,1288
4/1/2020,1129
5/1/2020,1439
6/1/2020,1677
7/1/2020,1722
8/1/2020,1734
9/1/2020,1648
10/1/2020,1698
11/1/2020,1677
12/1/2020,1731
1/1/2021,1597
2/1/2021,1459
3/1/2021,1913
4/1/2021,1809
5/1/2021,1734
6/1/2021,1865
7/1/2021,1805
8/1/2021,1771
9/1/2021,1758
10/1/2021,1742
11/1/2021,1805
12/1/2021,1719
1/1/2022,1523
2/1/2022,1536
3/1/2022,1777
4/1/2022,1703
5/1/2022,1762
6/1/2022,1786
7/1/2022,1698
8/1/2022,1801
9/1/2022,1633
10/1/2022,1624
11/1/2022,1730
12/1/2022,1643
1/1/2023,1527
2/1/2023,1461
